"POKEID","POKELOCATION","POKENAME"
"298","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Azurill"
"299","Akala Island: Akala Outskirts","Nosepass"
"300","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Skitty"
"301","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Delcatty"
"302","Melemele Island: When battling wild Carbink in Ten Carat Hill, Sableye might appear if the pokémon calls for help Poni Island: When battling wild Carbink in Vast Poni Canyon, Sableye might appear if the pokémon calls for help","Sableye"
"303","Melemele Island: Ten Carat Hill","Mawile"
"304","Breed Aggron","Aron"
"305","Raise Aron to level 32","Lairon"
"306","Poni Island: Use the QR Scanner's Island Scan on Poni Island on a Monday. Aggron can then be encountered in Poni Plains.","Aggron"
"307","Breed Medicham","Meditite"
"308","Can be found in yellow wormholes in Ultra Space","Medicham"
"309","Breed Manectric","Electrike"
"310","Ula'ula Island: Ultra Moon only: Route 12","Manectric"
"311","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Plusle"
"312","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Minun"
"313","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Volbeat"
"314","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Illumise"
"315","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Roselia"
"316","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Gulpin"
"317","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Swalot"
"318","Poni Island: Fishing in Poni Breaker Coast","Carvanha"
"319","Raise Carvanha to level 30. Or, Poni Island: When battling wild Carvanha in Poni Breaker Coast, there is a chance that Sharpedo will appear if the pokémon calls for help","Sharpedo"
"320","Poni Island: Fishing in Seafolk Village. Can be encountered by fishing or riding a pokémon in the water in Poni Breaker Coast.","Wailmer"
"321","Raise Wailmer to level 40 Poni Island: When battling wild Wailmer in Seafolk Village or Poni Breaker Coast, there is a chance that Wailord will appear if the pokémon calls for help","Wailord"
"322","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Numel"
"323","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Camerupt"
"324","Ula'ula Island: Blush Mountain, Route 12","Torkoal"
"325","Breed Grumpig","Spoink"
"326","Can be found in green wormholes in Ultra Space","Grumpig"
"327","Melemele Island: Ten Carat Hill: Farthest Hollow","Spinda"
"328","Ula'ula Island: Rustling sand in Haina Desert","Trapinch"
"329","Raise Trapinch to level 35","Vibrava"
"330","Raise Vibrava to level 45","Flygon"
"331","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Cacnea"
"332","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Cacturne"
"333","Breed Altaria","Swablu"
"334","Can be found in red wormholes in Ultra Space","Altaria"
"335","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Zangoose"
"336","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Seviper"
"337","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Lunatone"
"338","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Solrock"
"339","Melemele Island: Fishing in Melemele Meadow Akala Island: Fishing in Paniola Town. Also, you can get a Barboach from the chef in the Royal Avenue Pokémon Center if you trade him a Tentacool. Poni Island: Fishing in Vast Poni Canyon, Poni Meadow, Poni Gauntlet","Barboach"
"340","Raise Barboach to level 30, or Melemele Island: When battling wild Barboach in Seaward Cave, there is a chance that Whiscash will appear if the pokémon calls for help Akala Island: When battling wild Barboach in Paniola Town, there is a chance that Whiscash will appear if the pokémon calls for help Ula'ula Island: When battling wild Barboach in Vast Poni Canyon, Poni Meadow, or Poni Gauntlet, there is a chance that Whiscash will appear if the pokémon calls for help","Whiscash"
"341","Poni Island: Fishing in Vast Poni Canyon","Corphish"
"342","Raise Corphish to level 30, or Poni Island: When battling wild Corphish in Vast Poni Canyon, Crawdaunt might appear if the pokémon calls for help","Crawdaunt"
"343","Ula'ula Island: Ultra Moon only: When battling wild Krokorok in Haina Desert, there is a chance that Baltoy will appear if the pokémon calls for help.","Baltoy"
"344","Raise Baltoy to level 36","Claydol"
"345","Akala Island: Ultra Moon only: Purchase the Root Fossil from Olivia's shop in Konikoni City and revive it in the Fossil Restoration Center in Route 8.","Lileep"
"346","Raise Lileep to level 40","Cradily"
"347","Akala Island: Ultra Sun only: Purchase the Claw Fossil from Olivia's shop in Konikoni City and revive it in the Fossil Restoration Center in Route 8.","Anorith"
"348","Raise Anorith to level 40","Armaldo"
"349","Akala Island: Fishing in Brooklet Hill (more common from bubbling spots). Not found in Totem's Den.","Feebas"
"350","Evolves from Feebas when traded while holding a Prism Scale. One Prism Scale can be found in Kala'e Bay. There is a chance of finding Prism Scales by fishing in certain bubbling locations in Ula'ula Island, or by walking around with a pokémon in your party that is level 11 or higher and has the Pickup ability.","Milotic"
"351","Akala Island: When battling pokémon in Lush Jungle while Rain, Hail, or Sandstorm is in effect, there is a chance that Castform will appear if the pokémon calls for help. Recommended method: Encounter Oranguru/Passimian in Lush Jungle, use an Adrenaline Orb, then cause Hail or Sandstorm. Ula'ula Island: When battling pokémon in Route 17, Tapu Village, Mount Lanakila, Haina Desert, or Malie Garden while any weather is in effect, there is a chance that Castform will appear if the pokémon calls for help. Recommended method: Encounter Psyduck in Malie Garden, use an Adrenaline Orb, then cause Hail or Sandstorm. Poni Island: When battling pokémon in Exeggutor Island while any weather is in effect, there is a chance that Castform will appear if the pokémon calls for help. Recommended method: Encounter Exeggcute on Exeggutor Island, use an Adrenaline Orb, then cause Hail or Sandstorm.","Castform"
"352","Akala Island: Shadows in Dividing Peak Tunnel","Kecleon"
"353","Ula'ula Island: Abandoned Thrifty Megamart in Route 14","Shuppet"
"354","Raise Shuppet to level 37.","Banette"
"355","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Duskull"
"356","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Dusclops"
"357","Poni Island: Exeggutor Island","Tropius"
"358","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Chimecho"
"359","Ula'ula Island: Mount Lanakila","Absol"
"360","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Wynaut"
"361","Ula'ula Island: Tapu Village, grass near elevator of Mount Lanakila","Snorunt"
"362","Raise Snorunt to level 42 Ula'ula Island: Mount Lanakila","Glalie"
"363","Akala Island: Use the QR Scanner's Island Scan on Akala Island on a Monday. Spheal can then be encountered in Route 7.","Spheal"
"364","Raise Spheal to level 32","Sealeo"
"365","Raise Sealeo to level 44","Walrein"
"366","Melemele Island: Fishing in Melemele Sea Ula'ula Island: Fishing in Route 15","Clamperl"
"367","Evolves from Clamperl when traded while holding a Deep Sea Tooth, which can be obtained by battling Lana in Konikoni City after becoming Champion Melemele Island: When battling wild Clamperl at night in Melemele Sea, there is a chance that Huntail will appear if the pokémon calls for help Ula'ula Island: When battling wild Clamperl at night in Route 15, there is a chance that Huntail will appear if the pokémon calls for help","Huntail"
"368","Evolves from Clamperl when traded while holding a Deep Sea Scale, which can be obtained by battling Lana in Konikoni City after becoming Champion Melemele Island: When battling wild Clamperl during the day in Melemele Sea, there is a chance that Gorebyss will appear if the pokémon calls for help Ula'ula Island: When battling wild Clamperl during the day in Route 15, there is a chance that Gorebyss will appear if the pokémon calls for help","Gorebyss"
"369","Poni Island: Fishing in Poni Breaker Coast","Relicanth"
"370","Melemele Island: Fishing in Melemele Sea Akala Island: Fishing in Route 9","Luvdisc"
"371","Melemele Island: Kala'e Bay (in grass only), Route 3","Bagon"
"372","Raise Bagon to level 30, or Melemele Island: When battling Bagon in Kala'e Bay, there is a chance that Shelgon will appear if the pokémon calls for help","Shelgon"
"373","Raise Shelgon to level 50","Salamence"
"374","Ula'ula Island: Mount Hokulani","Beldum"
"375","Raise Beldum to level 20","Metang"
"376","Raise Metang to level 45","Metagross"
"377","Can be found in yellow wormholes in Ultra Space","Regirock"
"378","Can be found in yellow wormholes in Ultra Space","Regice"
"379","Can be found in yellow wormholes in Ultra Space","Registeel"
"380","Ultra Moon only: Can be found in blue wormholes in Ultra Space","Latias"
"381","Ultra Sun only: Can be found in blue wormholes in Ultra Space","Latios"
"382","Ultra Moon only: Can be found in blue wormholes in Ultra Space","Kyogre"
"383","Ultra Sun only: Can be found in yellow wormholes in Ultra Space","Groudon"
"384","Can be found in red wormholes in Ultra Space if you have Kyogre and Groudon","Rayquaza"
"385","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Jirachi"
"386","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Deoxys"
"387","Breed Grotle","Turtwig"
"388","Ula'ula Island: Use the QR Scanner's Island Scan on Ula'ula Island on a Wednesday. Grotle can then be encountered in Ula'ula Meadow.","Grotle"
"389","Raise Grotle to level 32","Torterra"
"390","Breed Monferno","Chimchar"
"391","Ula'ula Island: Use the QR Scanner's Island Scan on Ula'ula Island on a Friday. Monferno can then be encountered in Route 11.","Monferno"
"392","Raise Monferno to level 36","Infernape"
"393","Breed Prinplup","Piplup"
"394","Ula'ula Island: Use the QR Scanner's Island Scan on Ula'ula Island on a Tuesday. Prinplup can then be encountered in Route 16.","Prinplup"
"395","Raise Prinplup to level 36","Empoleon"
"396","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Starly"
"397","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Staravia"
"398","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Staraptor"
"399","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Bidoof"
"400","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Bibarel"
"401","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Kricketot"
"402","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Kricketune"
"403","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Shinx"
"404","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Luxio"
"405","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Luxray"
"406","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Budew"
"407","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Roserade"
"408","Akala Island: Ultra Sun only: Purchase the Skull Fossil from Olivia's shop in Konikoni City and revive it in the Fossil Restoration Center in Route 8.","Cranidos"
"409","Raise Cranidos to level 30","Rampardos"
"410","Akala Island: Ultra Moon only: Purchase the Armor Fossil from Olivia's shop in Konikoni City and revive it in the Fossil Restoration Center in Route 8.","Shieldon"
"411","Raise Shieldon to level 30","Bastiodon"
"412","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Burmy"
"413","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Wormadam"
"414","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Mothim"
"415","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Combee"
"416","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Vespiquen"
"417","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Pachirisu"
"418","Breed Floatzel","Buizel"
"419","Can be found in blue wormholes in Ultra Space","Floatzel"
"420","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Cherubi"
"421","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Cherrim"
"422","Breed Gastrodon, or Poni Island: You can get a West Sea Shellos from a Veteran in northeast Seafolk Village if you trade her a Granbull.","Shellos"
"423","Poni Island: Exeggutor Island, Poni Wilds, Ancient Poni Path. Can encounter while riding a pokémon in water in Poni Breaker Coast","Gastrodon"
"424","Level up an Aipom that knows the move Double Hit. Aipom learns Double Hit at level 32. Or, Poni Island: When battling wild Aipom in Poni Plains, there is a chance that Ambipom will appear if the pokémon calls for help.","Ambipom"
"425","Melemele Island: Hau'oli Cemetery during the day in Ultra Sun, or at night in Ultra Moon","Drifloon"
"426","Raise Drifloon to level 28","Drifblim"
"427","Melemele Island: Route 1 Poni Island: Poni Grove","Buneary"
"428","Level up Buneary with high friendship, or Poni Island: When battling wild Buneary in Poni Grove, there is a chance that Lopunny will appear if the pokémon calls for help","Lopunny"
"429","Use a Dusk Stone on Misdreavus","Mismagius"
"430","Use a Dusk Stone on Murkrow","Honchkrow"
"431","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Glameow"
"432","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Purugly"
"433","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Chingling"
"434","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Stunky"
"435","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Skuntank"
"436","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Bronzor"
"437","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Bronzong"
"438","Melemele Island: Route 1 in the area blocked by rocks Akala Island: Route 5","Bonsly"
"439","Breed Mr. Mime with one parent holding Odd Incense, or Melemele Island: Hau'oli City Shopping District","Mime Jr."
"440","Melemele Island: Route 1, Hau'oli City Shopping District, Route 3 Akala Island: Route 4, Route 5, Route 6, Route 7 Ula'ula Island: Route 10, Route 12 Poni Island: Poni Grove","Happiny"
"441","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Chatot"
"442","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Spiritomb"
"443","Breed Gabite or Garchomp","Gible"
"444","Ula'ula Island: When battling wild Krokorok in Haina Desert with a Sandstorm in effect, Gabite might appear if the pokémon calls for help.","Gabite"
"445","Raise Gabite to level 48","Garchomp"
"446","Melemele Island: Route 1 in the area blocked by rocks","Munchlax"
"447","Poni Island: Poni Grove during the day","Riolu"
"448","Poni Island: When battling wild Riolu in Poni Grove during the day, there is a chance that Lucario will appear if the pokémon calls for help","Lucario"
"449","Breed Hippowdon","Hippopotas"
"450","Can be found in yellow wormholes in Ultra Space","Hippowdon"
"451","Breed Drapion","Skorupi"
"452","Can be found in green wormholes in Ultra Space","Drapion"
"453","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Croagunk"
"454","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Toxicroak"
"455","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Carnivine"
"456","Melemele Island: Can encounter while riding a pokémon in the water in Melemele Sea, Hau'oli City Beachfront, Kala'e Bay Akala Island: Can encounter while riding a pokémon in the water in Route 8, the Brooklet Hill Totem's Den, Hano Beach, Route 5, and Route 7 Ula'ula Island: Can encounter while riding a pokémon in the water in Route 14, Route 15","Finneon"
"457","Ula'ula Island: When battling wild Finneon in Route 15, there is a chance that Lumineon will appear if the pokémon calls for help Poni Island: Can be encountered while riding a pokémon in water in Poni Breaker Coast","Lumineon"
"458","Melemele Island: Can be encountered while riding a pokémon in the water in Melemele Sea, Hau'oli City Beachfront, and Kala'e Bay Akala Island: Can be encountered while riding a pokémon in the water in Route 8","Mantyke"
"459","Breed Abomasnow","Snover"
"460","Can be found in yellow wormholes in Ultra Space","Abomasnow"
"461","Level up Sneasel at night while it is holding a Razor Claw, which is rarely held by wild Jangmo-o and Hakamo-o, and often held by wild Kommo-o. You can also get a Razor Claw by speaking to the Scientist in the Tapu Village Pokémon Center if you own at least 50 TMs.","Weavile"
"462","Level up Magneton in Vast Poni Canyon","Magnezone"
"463","Level up Lickitung that knows Rollout","Lickilicky"
"464","Evolves from Rhydon when traded while holding a Protector, which can be obtained in Paniola Town from Kiawe's father","Rhyperior"
"465","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Tangrowth"
"466","Evolves from Electabuzz when traded while holding an Electirizer, which can be obtained from a man in Seafolk Village in a boat that is shaped like two Huntails.","Electivire"
"467","Evolves from Magmar when traded while holding a Magmarizer, which can be obtained from a man in Seafolk Village in a boat that is shaped like two Huntails.","Magmortar"
"468","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Togekiss"
"469","Can be found in red wormholes in Ultra Space","Yanmega"
"470","Akala Island: Level Eevee up in the northeast area of Lush Jungle, where there is a Mossy Rock","Leafeon"
"471","Ula'ula Island: Level Eevee up in the cave of Mount Lanakila where there is an Icy Rock","Glaceon"
"472","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Gliscor"
"473","Level up Piloswine that knows Ancient Power","Mamoswine"
"474","Evolves from Porygon2 when traded while holding a Dubious Disc, which can be obtained after completing the main game by defeating Faba in Aether Paradise","Porygon-Z"
"475","Use a Dawn Stone on a male Kirlia. Dawn Stones can be obtained (rarely) in Poké Pelago from the Path for Brilliant Stone Hunting if Isle Aphun has been upgraded to Phase 2 or higher.","Gallade"
"476","Level up Nosepass in Vast Poni Canyon","Probopass"
"477","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Dusknoir"
"478","Use a Dawn Stone on a female Snorunt","Froslass"
"479","Poni Island: Use the QR Scanner's Island Scan on Poni Island on a Tuesday. Rotom can then be encountered in Poni Gauntlet.","Rotom"
"480","Can be found in blue wormholes in Ultra Space","Uxie"
"481","Can be found in blue wormholes in Ultra Space","Mesprit"
"482","Can be found in blue wormholes in Ultra Space","Azelf"
"483","Ultra Sun only: Can be found in green wormholes in Ultra Space","Dialga"
"484","Ultra Moon only: Can be found in yellow wormholes in Ultra Space","Palkia"
"485","Ultra Sun only: Can be found in yellow wormholes in Ultra Space","Heatran"
"486","Ultra Moon only: Can be found in yellow wormholes in Ultra Space","Regigigas"
"487","Can be found in yellow wormholes in Ultra Space if you have Dialga and Palkia","Giratina"
"488","Can be found in red wormholes in Ultra Space","Cresselia"
"489","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Phione"
"490","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Manaphy"
"491","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Darkrai"
"492","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Shaymin"
"493","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Arceus"
"494","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Victini"
"495","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Snivy"
"496","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Servine"
"497","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Serperior"
"498","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Tepig"
"499","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Pignite"
"500","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Emboar"
"501","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Oshawott"
"502","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Dewott"
"503","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Samurott"
"504","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Patrat"
"505","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Watchog"
"506","Akala Island: Route 4, Route 6, Paniola Ranch, Route 5","Lillipup"
"507","Raise Lillipup to level 16","Herdier"
"508","Raise Herdier to level 32","Stoutland"
"509","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Purrloin"
"510","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Liepard"
"511","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Pansage"
"512","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Simisage"
"513","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Pansear"
"514","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Simisear"
"515","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Panpour"
"516","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Simipour"
"517","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Munna"
"518","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Musharna"
"519","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Pidove"
"520","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Tranquill"
"521","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Unfezant"
"522","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Blitzle"
"523","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Zebstrika"
"524","Melemele Island: Ten Carat Hill","Roggenrola"
"525","Raise Roggenrola to level 25, or Poni Island: Vast Poni Canyon","Boldore"
"526","Evolves from Boldore when traded","Gigalith"
"527","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Woobat"
"528","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Swoobat"
"529","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Drilbur"
"530","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Excadrill"
"531","Can be found in green wormholes in Ultra Space","Audino"
"532","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Timburr"
"533","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Gurdurr"
"534","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Conkeldurr"
"535","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Tympole"
"536","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Palpitoad"
"537","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Seismitoad"
"538","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Throh"
"539","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Sawk"
"540","Breed Leavanny","Sewaddle"
"541","Raise Sewaddle to level 20","Swadloon"
"542","Poni Island: Use the QR Scanner's Island Scan on Poni Island on a Wednesday. Leavanny can then be encountered in Poni Meadow.","Leavanny"
"543","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Venipede"
"544","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Whirlipede"
"545","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Scolipede"
"546","Melemele Island: Ultra Sun only: Melemele Meadow Ula'ula Island: Ultra Sun only: Malie Garden, Ula'ula Meadow Poni Island: Ultra Sun only: Poni Plains","Cottonee"
"547","Use a Sun Stone on Cottonee","Whimsicott"
"548","Melemele Island: Ultra Moon only: Melemele Meadow Ula'ula Island: Ultra Moon only: Malie Garden, Ula'ula Meadow Poni Island: Ultra Moon only: Poni Plains","Petilil"
"549","Use a Sun Stone on Petilil","Lilligant"
"550","Akala Island: Fishing in Brooklet Hill Ula'ula Island: Fishing in Malie Garden Poni Island: Fishing in Vast Poni Canyon","Basculin"
"551","Breed Krokorok or Krookodile","Sandile"
"552","Ula'ula Island: Haina Desert","Krokorok"
"553","Raise Krokorok to level 40","Krookodile"
"554","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Darumaka"
"555","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Darmanitan"
"556","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Maractus"
"557","Breed Crustle","Dwebble"
"558","Can be found in yellow wormholes in Ultra Space","Crustle"
"559","Ula'ula Island: Route 16, Route 17","Scraggy"
"560","Raise Scraggy to level 39","Scrafty"
"561","Can be found in red wormholes in Ultra Space","Sigilyph"
"562","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Yamask"
"563","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Cofagrigus"
"564","Akala Island: Ultra Sun only: Purchase the Cover Fossil from Olivia's shop in Konikoni City and revive it in the Fossil Restoration Center in Route 8.","Tirtouga"
"565","Raise Tirtouga to level 37","Carracosta"
"566","Akala Island: Ultra Moon only: Purchase the Plume Fossil from Olivia's shop in Konikoni City and revive it in the Fossil Restoration Center in Route 8.","Archen"
"567","Raise Archen to level 37","Archeops"
"568","Ula'ula Island: Malie City Outer Cape","Trubbish"
"569","Raise Trubbish to level 36","Garbodor"
"570","Melemele Island: Trainers' School","Zorua"
"571","Raise Zorua to level 30, or Poni Island: Poni Grove","Zoroark"
"572","Ula'ula Island: Malie City Outer Cape","Minccino"
"573","Use a Shiny Stone on Minccino","Cinccino"
"574","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Gothita"
"575","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Gothorita"
"576","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Gothitelle"
"577","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Solosis"
"578","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Duosion"
"579","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Reuniclus"
"580","Breed Swanna","Ducklett"
"581","Can be found in red wormholes in Ultra Space","Swanna"
"582","Ula'ula Island: When battling wild pokémon in Tapu Village or near the southern Mount Lanakila elevator while hail is in effect, there is a chance that Vanillite will appear if the pokémon calls for help","Vanillite"
"583","Raise Vanillite to level 35, or Ula'ula Island: When battling wild pokémon on Mount Lanakila when hail is in effect, there is a chance that Vanillish will appear if the pokémon calls for help","Vanillish"
"584","Raise Vanillish to level 47, or Ula'ula Island: When battling wild pokémon on Mount Lanakila when hail is in effect, there is a chance that Vanilluxe will appear if the pokémon calls for help","Vanilluxe"
"585","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Deerling"
"586","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Sawsbuck"
"587","Poni Island: Shaking tree in Poni Plains","Emolga"
"588","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Karrablast"
"589","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Escavalier"
"590","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Foongus"
"591","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Amoonguss"
"592","Ula'ula Island: Route 14","Frillish"
"593","Raise Frillish to level 40","Jellicent"
"594","Akala Island: Can be found by fishing in the Totem's Den in Brooklet Hill.","Alomomola"
"595","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Joltik"
"596","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Galvantula"
"597","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Ferroseed"
"598","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Ferrothorn"
"599","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Klink"
"600","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Klang"
"601","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Klinklang"
"602","Breed Eelektross","Tynamo"
"603","Raise Tynamo to level 39","Eelektrik"
"604","Poni Island: Use the QR Scanner's Island Scan on Poni Island on a Sunday. Eelektross can then be encountered in Poni Grove.","Eelektross"
"605","Ula'ula Island: Mount Hokulani","Elgyem"
"606","Raise Elgyem to level 42","Beheeyem"
"607","Melemele Island: Use the QR Scanner's Island Scan on Melemele Island on a Saturday. Litwick can then be encountered in Hau'oli Cemetery.","Litwick"
"608","Raise Litwick to level 41","Lampent"
"609","Use a Dusk Stone on Lampent","Chandelure"
"610","Ula'ula Island: Use the QR Scanner's Island Scan on Ula'ula Island on a Saturday. Axew can then be encountered on Mount Hokulani.","Axew"
"611","Raise Axew to level 38","Fraxure"
"612","Raise Fraxure to level 48","Haxorus"
"613","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Cubchoo"
"614","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Beartic"
"615","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Cryogonal"
"616","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Shelmet"
"617","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Accelgor"
"618","Can be found in blue wormholes in Ultra Space","Stunfisk"
"619","Poni Island: Vast Poni Canyon","Mienfoo"
"620","Raise Mienfoo to level 50","Mienshao"
"621","Poni Island: Resolution Cave","Druddigon"
"622","Ula'ula Island: Ultra Sun only: When battling wild Krokorok in Haina Desert, there is a chance that Golett will appear if the pokémon calls for help","Golett"
"623","Raise Golett to level 43","Golurk"
"624","Ula'ula Island: When battling wild Bisharp in Route 17, there is a chance that Pawniard will appear if the pokémon calls for help","Pawniard"
"625","Ula'ula Island: Route 17 (hill area)","Bisharp"
"626","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Bouffalant"
"627","Melemele Island: Ultra Sun only: Shadows in Route 3","Rufflet"
"628","Poni Island: Ultra Sun only: Shadows on the ground in Poni Plains.","Braviary"
"629","Melemele Island: Ultra Moon only: Shadows in Route 3","Vullaby"
